select_and_scale__Age,select_and_scale__Fare,select_and_scale__FamilySize,select_and_scale__Fare_Log,select_and_scale__Fare_Per_Person,select_and_scale__Age_Class,select_and_scale__Age_Fare,select_and_scale__Age_Sq,select_and_scale__Fare_Sq,select_and_scale__Sex_male,select_and_scale__Pclass_3
1.2402348569754682,-0.07458306872129913,-0.5609748304808925,0.4358726267231761,0.23962456795396225,-0.5724049401085883,1.18135412419608,1.1605812306466232,0.27608422990276593,0.7376951317802901,-1.1079259903080172
-0.48888661775358344,-0.3866707201133388,-0.5609748304808925,-0.3336984726090332,-0.19308082769342225,-0.5570091080591119,-0.4982929519468417,-0.5613117101854542,-0.4357668312169326,0.7376951317802901,-1.1079259903080172
0.20276197213803718,-0.4888542575852486,-0.5609748304808925,-0.798539974052802,-0.3347569491715175,0.9825740968885375,-0.3300412546320708,-0.008294999261283314,-0.7804020374400552,0.7376951317802901,0.9025873648130485
-0.2583370877897099,-0.4902797934380587,0.059159876663617626,-0.806763380796033,-0.44636423312369033,0.4283241431073837,-0.5702224469888952,-0.39708250512312465,-0.7859203137141989,0.7376951317802901,0.9025873648130485
-1.7953339542155335,-0.01870931177853076,3.1598334123861687,0.5286989276421437,-0.4312681987076162,-1.4191757028297955,-1.215810428810646,-1.112094010156396,0.37385455037525206,-1.3555735383351195,0.9025873648130485
-0.41203677443229225,4.335332226633905,0.059159876663617626,2.6363132839087284,2.8989593467622274,-1.2344257182360776,0.7921530046607149,-0.5088030527845733,3.2834818985772354,0.7376951317802901,-1.1079259903080172
1.2018099353148226,-0.11384570873513637,-0.5609748304808925,0.36526093570402607,0.18518743753380743,-0.5878007721580649,1.0954800412639718,1.1100276828298177,0.20342812254316164,0.7376951317802901,-1.1079259903080172
-0.027787557825836348,-0.09027201697708476,0.059159876663617626,0.4082334475616762,-0.1690614907634216,-0.18750913887167603,0.1619734933616488,-0.21274360148173435,0.2474681655184986,0.7376951317802901,-1.1079259903080172
-0.10463740114712752,-0.4894421904510968,-0.5609748304808925,-0.8019236166026618,-0.33557211030396283,0.6130741277011017,-0.4893286006242167,-0.2764243136487601,-0.7826750495741225,0.7376951317802901,0.9025873648130485
-0.10463740114712752,0.06635974158478332,-0.5609748304808925,0.6557188297748954,0.4350399079237488,-1.1112590618402656,0.22235482017253141,-0.2764243136487601,0.5117929017454589,0.7376951317802901,-1.1079259903080172
